url,description
https://campusinvolvement.umich.edu/late-night-programs?page=3,"
"
https://campusinvolvement.umich.edu/late-night-programs?page=3,"
"
https://campusinvolvement.umich.edu/late-night-programs?page=2,"
                    2205 Michigan Union"
https://campusinvolvement.umich.edu/late-night-programs?page=2,"
530 S. State Street"
https://campusinvolvement.umich.edu/late-night-programs?page=3, 
https://campusinvolvement.umich.edu/late-night-programs?page=3, 
https://campusinvolvement.umich.edu/late-night-programs?page=2,"
Ann Arbor MI 48109-1308"
https://campusinvolvement.umich.edu/late-night-programs?page=3,"
"
https://campusinvolvement.umich.edu/late-night-programs?page=3, | 
https://campusinvolvement.umich.edu/late-night-programs?page=2,"
Office Hours: Monday-Friday, 8am-5pm"
https://campusinvolvement.umich.edu/late-night-programs?page=3, | 
https://campusinvolvement.umich.edu/late-night-programs?page=3,"
				© 2016 The Regents of the University of Michigan "
https://campusinvolvement.umich.edu/late-night-programs?page=2,"
"
https://campusinvolvement.umich.edu/late-night-programs?page=2,"
2202 Pierpont Commons"
https://campusinvolvement.umich.edu/late-night-programs?page=2,"
2101 Bonisteel Blvd."
https://campusinvolvement.umich.edu/late-night-programs?page=2,"
Ann Arbor, MI  48109"
https://campusinvolvement.umich.edu/late-night-programs?page=2,"
Office Hours: Monday-Friday, 11am-2pm"
https://campusinvolvement.umich.edu/late-night-programs?page=2,"
"
https://campusinvolvement.umich.edu/late-night-programs?page=2,"
 "
https://campusinvolvement.umich.edu/late-night-programs?page=2,"
"
https://campusinvolvement.umich.edu/late-night-programs?page=2,"
"
https://campusinvolvement.umich.edu/late-night-programs?page=2, 
https://campusinvolvement.umich.edu/late-night-programs?page=2, 
https://campusinvolvement.umich.edu/late-night-programs?page=2,"
"
https://campusinvolvement.umich.edu/late-night-programs?page=2, | 
https://campusinvolvement.umich.edu/late-night-programs?page=2, | 
https://campusinvolvement.umich.edu/late-night-programs?page=2,"
				© 2016 The Regents of the University of Michigan "
